"Name","TNK1","TNK2","TNK3","TNK4","TNK5","TNK6","TNK7","TNK8","TNK9","TNK10","TNK11","TNK12","TNK13","TNK14","TNK15","TNK16","TNK17","TNK18","TNK19","TNK20","TNK22","TNK23","TNK26","TNK32","TNK33","TNK41","TNK42","TNK56","TNK57","TNK29","TNK38","TNK50","TNK51","TNK52","TNK66","TNK67","TNK35","TNK44","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B14","B15","B16","B17","B18","B19","B20","B21","B22","B23","B26","B32","B41","B42","B56","B57","B29","B30","B38","B39","B51","B35","B63","B44","B81","B84","Epi1","Epi2","Epi3","Epi4","Epi5","Epi6","Epi7","Epi8","Epi9","Epi10","Epi11","Epi12","Epi13","Epi14","Epi15","Epi16","Epi17","Epi18","Epi19","Epi20","Epi21","Epi22","Epi23","Epi24","Epi25","Epi26","Epi32","Epi34","Epi41","Epi42","Epi43","Epi56","Epi57","Epi58","Epi40","Epi50","Epi35","Epi36","Epi49","Epi62","Epi64","Epi74","Epi75","Epi76","Epi44","Epi45","Epi46","Epi72","Epi73","Epi80","Epi81","Epi82","Epi53","Epi55","Epi68","Epi77","Epi78","Epi79","Epi85","Mye1","Mye2","Mye3","Mye4","Mye5","Mye6","Mye7","Mye8","Mye9","Mye10","Mye11","Mye12","Mye13","Mye14","Mye15","Mye16","Mye17","Mye18","Mye19","Mye20","Mye21","Mye22","Mye23","Mye24","Mye25","Mye26","Mye32","Mye33","Mye41","Mye42","Mye43","Mye56","Mye57","Mye58","Mye50","Mye52","Mye35","Mye47","Mye48","Mye62","Mye63","Mye74","Mye59","Mye71","Mye72","Mye73","Mye53","Mye54","Mye68","Mye77","Mye84","Stromal1","Stromal2","Stromal3","Stromal4","Stromal5","Stromal6","Stromal7","Stromal8","Stromal9","Stromal10","Stromal11","Stromal12","Stromal13","Stromal14","Stromal15","Stromal16","Stromal17","Stromal18","Stromal19","Stromal20","Stromal21","Stromal22","Stromal23","Stromal24","Stromal26","Stromal27","Stromal28","Stromal32","Stromal34","Stromal41","Stromal42","Stromal43","Stromal56","Stromal58","Stromal40","Stromal65","Stromal66","Stromal35","Stromal37","Stromal48","Stromal49","Stromal62","Stromal63","Stromal64","Stromal44","Stromal45","Stromal59","Stromal61","Stromal73","Stromal80","Stromal54","Stromal55","Stromal68","Stromal78","Stromal85"
"TCGA.NH.A8F7.01","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","1","0","0","-1","0","0","-1","-1","0","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","0","0","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","0","-1","0","0","-1","-1","-1","0","-1","1","0","-1","1","0","0","0","-1","0","-1","-1","0","0","-1","1","0","1","-1","-1","0","-1","-1","0","1","1","-1","0","-1","0","1","-1","0","1","0","-1","-1","-1","-1","-1","-1","-1","1","1","1","0","1","-1","-1","-1","-1","-1","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","0","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","0","-1","-1","0","-1","0"
"TCGA.D5.5541.01","-1","-1","-1","-1","-1","0","0","-1","0","0","-1","-1","0","0","-1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","-1","0","-1","-1","-1","0","0","0","-1","-1","-1","-1","-1","0","-1","-1","0","-1","-1","0","1","-1","0","0","0","1","0","1","0","0","0","-1","1","0","-1","0","0","-1","0","0","0","1","0","0","-1","0","-1","1","-1","1","0","-1","0","0","0","0","-1","1","-1","-1","0","-1","-1","1","0","1","-1","-1","0","-1","-1","0","0","1","-1","0","-1","0","1","-1","-1","1","1","-1","-1","-1","-1","-1","0","-1","1","1","0","0","1","-1","0","-1","-1","-1","0","1","-1","0","-1","-1","1","-1","0","-1","1","0","1","-1","0","1","0","0","-1","0","-1","-1","0","-1","0","0","0","0","0","0","0","-1","0","1","0","0","0","0","0","0","0","-1","0","0","0","-1","0","0","0","-1","0","0","0","0","0","0","-1","0","0","0","0","1","0","-1","0","0","0","-1","0","0","0","0","-1","0","-1","0","1","0","-1","0","0","-1","0","-1","0","-1","-1","-1","0","0","0","0","0","1","0","-1","1","0","0","0","-1","0","0","-1","0","0","0","0","0","0","0"
"TCGA.F4.6808.01","-1","-1","0","1","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","1","-1","0","1","-1","-1","0","-1","-1","-1","-1","-1","-1","0","-1","0","-1","-1","-1","-1","-1","-1","0","-1","1","-1","0","-1","-1","0","-1","-1","1","0","-1","-1","-1","-1","-1","0","-1","0","1","1","-1","-1","1","-1","-1","0","-1","1","0","-1","-1","1","-1","-1","-1","0","-1","1","1","0","1","-1","1","-1","1","0","1","0","1","0","0","1","0","0","1","0","0","0","-1","0","0","0","1","-1","1","0","1","1","0","1","0","0","1","1","0","0","0","0","0","-1","1","1","1","1","1","1","0","-1","0","0","0","0","0","-1","-1","-1","-1","-1","0","0","-1","0","-1","-1","-1","0","0","-1","-1","-1","-1","0","0","0","0","1","0","-1","-1","-1","-1","0","1","-1","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","0","-1","-1","0","-1","-1","-1","-1","-1","-1","0","0","1","-1","-1","1","-1","-1","0","-1","0","0","-1","-1","-1","-1","-1","1","-1","1","-1","-1","0","-1","-1","0","-1","0","-1","-1","-1","1","0","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","0","0","-1","-1","-1","-1","0","0","0","0","-1","0"
"TCGA.A6.2680.11","1","1","1","-1","0","0","1","1","-1","0","1","0","-1","0","0","-1","0","-1","-1","0","0","-1","0","0","1","1","1","1","-1","1","-1","0","0","0","0","0","0","-1","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","-1","0","-1","-1","-1","0","0","0","0","0","0","1","-1","1","1","0","-1","0","0","-1","0","0","0","-1","1","-1","-1","0","0","-1","-1","-1","0","0","-1","1","0","1","-1","0","-1","-1","1","1","-1","1","0","-1","0","0","0","0","-1","-1","0","-1","-1","0","0","-1","0","0","0","1","0","1","0","1","1","0","0","-1","0","0","1","1","-1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","1","1","1","1","0","1","0","-1","-1","-1","1","0","1","-1","-1","1","0","1","-1","-1","0","0","1","0","1","0","0","1","0","1","0","-1","0","1","1","0","1","0","-1","0","-1","-1","0","-1","1","1","-1","0","1","0","0","1","-1","0","1","0","0","-1","-1","-1","-1","-1","1","1","1","1","1","1","1","-1","0","0","0","0","1","1","0","0","1","0","1","1","0","1","1","1","1","0","-1","0","-1","-1","0","-1"
"TCGA.AA.3511.11","1","1","1","-1","1","1","1","1","0","1","0","1","1","1","1","-1","1","0","-1","0","1","-1","1","0","1","1","1","1","-1","1","0","1","1","1","1","1","1","-1","1","0","1","1","0","1","0","0","1","0","1","1","1","1","1","1","-1","1","0","-1","-1","1","1","-1","1","1","0","1","-1","1","1","1","-1","1","1","1","0","0","-1","-1","1","-1","1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","0","0","-1","1","-1","0","1","-1","1","-1","-1","1","-1","0","-1","-1","1","-1","-1","-1","1","1","1","0","0","-1","-1","1","-1","-1","0","-1","1","1","0","1","0","0","0","1","1","-1","1","0","-1","1","0","1","0","1","1","-1","1","1","1","0","1","0","1","-1","-1","0","1","1","1","1","-1","-1","1","-1","1","-1","-1","-1","1","1","1","1","0","1","1","0","1","-1","-1","1","1","1","1","1","1","-1","-1","-1","-1","-1","-1","1","0","-1","-1","0","0","-1","1","-1","0","1","-1","1","-1","0","1","-1","0","1","0","0","1","1","1","1","-1","-1","0","1","1","1","1","0","-1","0","0","0","1","0","1","1","1","1","1","-1","1","-1","0","1","-1"
"TCGA.DM.A285.01","-1","-1","-1","0","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","-1","-1","0","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","0","1","-1","-1","-1","-1","-1","-1","0","-1","0","-1","0","0","1","-1","-1","0","0","-1","-1","-1","0","-1","-1","-1","0","-1","-1","-1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-1","0","0","-1","-1","0","0","0","-1","1","-1","0","0","-1","0","0","0","1","0","0","-1","0","-1","1","0","0","-1","0","-1","1","-1","1","-1","0","0","-1","0","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","-1","0","0","-1","-1","0","-1","1","0","0","-1","0","-1","0","1","-1","-1","0","0","0","0","0","-1","-1","0","0","-1","-1","-1","-1","-1","0","-1","0","0","0","-1","1","-1","-1","-1","-1","-1","0","-1","-1","0","-1","0"
"TCGA.AA.3522.11","1","0","0","-1","1","0","0","1","-1","1","-1","1","1","1","0","-1","0","-1","-1","1","1","-1","0","1","1","1","1","1","-1","1","-1","1","0","0","0","1","0","-1","1","0","0","0","-1","1","0","-1","0","-1","1","0","1","1","0","1","-1","1","-1","-1","-1","0","1","-1","1","0","0","1","-1","1","1","1","-1","1","1","-1","1","0","-1","-1","1","-1","0","0","1","-1","-1","-1","0","-1","-1","-1","-1","1","-1","0","-1","-1","0","0","-1","0","1","-1","1","-1","-1","1","-1","-1","-1","-1","1","0","-1","-1","1","1","1","-1","0","-1","-1","1","-1","-1","0","-1","1","0","0","0","-1","0","-1","0","1","0","1","0","-1","0","1","1","0","0","1","0","1","1","0","0","0","-1","1","0","-1","-1","0","1","0","1","-1","-1","1","0","1","-1","-1","-1","0","1","1","1","1","1","1","-1","1","0","-1","1","0","0","1","1","1","-1","-1","-1","-1","0","-1","1","0","-1","-1","1","0","-1","1","-1","-1","0","-1","0","-1","0","1","-1","-1","0","0","0","1","1","0","1","-1","-1","0","1","1","1","1","0","-1","1","-1","-1","1","-1","-1","0","0","1","1","-1","0","-1","-1","1","-1"
"TCGA.G4.6314.01","-1","-1","-1","-1","-1","-1","0","-1","0","-1","0","-1","0","-1","0","-1","1","0","0","1","0","0","0","-1","0","0","0","0","0","-1","-1","0","-1","-1","0","0","-1","0","-1","-1","-1","-1","-1","0","-1","-1","0","-1","-1","0","-1","0","-1","1","0","-1","0","0","0","0","-1","-1","0","0","-1","0","0","-1","-1","-1","0","0","0","0","-1","0","-1","0","-1","0","0","-1","0","0","0","0","-1","0","0","0","-1","-1","-1","0","0","0","-1","-1","0","-1","-1","-1","0","0","0","0","0","0","-1","0","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","0","0","1","0","1","0","0","1","0","0","1","-1","0","0","-1","0","-1","-1","-1","-1","0","0","0","-1","0","0","0","-1","-1","0","-1","-1","1","0","0","-1","0","0","0","-1","0","0","-1","0","0","0","0","-1","0","0","0","-1","0","0","0","0","1","0","-1","0","-1","0","0","-1","0","0","1","1","1","-1","1","1","1","1","0","1","1","0","1","1","1","1","1","-1","1","0","1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","-1","0","1","0","0","-1","0"
"TCGA.A6.6781.01","1","1","1","-1","1","1","1","1","0","1","1","1","1","1","0","0","-1","0","-1","1","0","0","1","1","0","1","0","1","0","0","1","1","1","1","1","1","1","0","0","1","1","1","0","1","1","-1","1","1","1","1","0","1","0","1","0","1","0","-1","-1","1","1","0","-1","1","1","0","1","1","1","1","0","0","1","1","0","1","-1","-1","0","-1","1","0","-1","0","0","-1","1","-1","1","-1","-1","-1","1","-1","0","-1","0","1","0","-1","0","-1","-1","-1","0","-1","1","0","-1","-1","-1","-1","-1","1","-1","0","-1","1","1","1","-1","-1","0","0","0","1","1","1","1","1","0","-1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","-1","0","0","1","1","1","1","1","0","1","1","1","1","-1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","1","1","0","1","1","1","1","1","0","1","-1","1","1","1","1","1","1","1","0","0","1","1","-1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","1","0"
"TCGA.F4.6807.01","1","1","1","-1","1","1","1","1","0","1","1","1","1","1","1","0","1","0","0","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","-1","0","1","1","1","1","1","0","1","0","0","0","1","1","-1","1","1","1","1","-1","1","1","1","0","1","0","1","-1","1","-1","0","-1","0","1","-1","0","-1","0","0","-1","0","1","0","-1","-1","0","0","0","0","0","0","0","0","-1","-1","1","0","1","0","1","0","0","1","-1","-1","-1","1","0","-1","-1","-1","1","-1","-1","-1","-1","1","1","1","1","-1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","0","0","1","1","-1","0","0","1","1","1","1","1","-1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","0","1","1","1","1","-1","1","1","1","1","-1","1","1","1","1","1","1","0","1","-1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0"
"TCGA.AY.A54L.01","0","0","-1","1","-1","-1","0","-1","1","-1","1","-1","-1","-1","-1","0","-1","1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","1","-1","1","-1","-1","0","1","-1","-1","1","0","1","0","-1","1","-1","1","1","-1","0","-1","-1","-1","-1","1","-1","1","-1","1","1","0","-1","-1","1","0","-1","-1","-1","-1","-1","-1","-1","0","-1","-1","0","1","-1","1","1","0","1","0","1","0","1","1","1","0","1","0","1","1","0","1","1","1","0","0","1","0","1","0","1","1","0","1","0","1","1","0","0","1","0","1","1","0","1","0","1","-1","1","1","1","1","1","0","-1","-1","0","1","-1","1","1","0","-1","-1","0","-1","0","0","-1","-1","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","1","-1","1","1","1","-1","-1","-1","-1","0","0","-1","-1","-1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","0","-1","1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","1","-1","-1","-1","-1","-1","-1","-1","0","-1","-1","-1","0","-1","-1","-1","-1","-1","1","-1","-1","1","-1","1"
"TCGA.A6.5661.01","0","0","0","1","1","1","0","0","1","0","1","0","1","1","1","1","0","1","1","0","0","1","0","0","1","0","1","0","1","1","1","0","1","0","1","0","1","1","0","1","1","1","1","0","1","1","0","1","1","0","1","1","1","-1","1","0","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","-1","1","1","0","1","0","1","0","1","1","1","0","1","1","1","0","1","1","1","1","1","-1","1","-1","1","1","1","1","0","1","0","-1","-1","-1","0","1","-1","0","-1","-1","1","1","0","0","0","1","1","0","-1","-1","-1","-1","-1","1","0","1","1","0","1","-1","1","0","0","1","0","1","1","1","1","0","-1","1","0","0","0","0","0","1","0","1","0","1","1","1","0","0","0","0","1","1","0","0","0","1","1","1","1","0","-1","0","1","0","-1","1","0","1","1","1","1","0","0","0","0","1","1","0","0","0","1","-1","-1","0","-1","1","0","-1","0","0","-1","0","0","0","1","-1","0","0","-1","0","0","-1","-1","0","-1","0","0","1","0","0","0","0","-1","0","1","1","-1","0","-1","0","-1","0","0","-1","0","1","0","1","1","0","1"
"TCGA.DM.A288.01","-1","0","-1","1","0","-1","-1","-1","0","-1","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","-1","-1","0","-1","-1","-1","1","-1","0","-1","-1","-1","0","-1","-1","1","0","-1","0","0","0","-1","0","1","-1","-1","-1","-1","0","0","0","-1","1","-1","0","1","0","-1","-1","0","1","-1","-1","-1","1","-1","-1","-1","0","-1","0","-1","1","-1","1","1","1","0","1","1","1","0","1","1","0","0","1","1","1","0","0","0","0","-1","0","0","1","1","-1","0","1","0","-1","-1","-1","0","-1","0","0","0","1","0","0","0","0","1","-1","0","0","-1","1","-1","-1","0","-1","1","-1","-1","0","0","0","-1","-1","0","-1","1","-1","0","-1","-1","0","0","-1","-1","-1","-1","-1","-1","0","0","-1","0","0","0","-1","-1","-1","-1","-1","0","-1","-1","-1","1","0","0","-1","-1","-1","-1","0","-1","-1","0","-1","0","1","-1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","0","-1","-1","-1","-1","0","-1","-1","-1","0","-1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","-1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","0","0","-1","1"
"TCGA.QG.A5YX.01","-1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","0","0","1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","1","0","-1","-1","-1","-1","-1","-1","-1","1","-1","0","-1","0","0","-1","0","-1","-1","0","0","-1","0","0","-1","-1","1","0","1","1","0","-1","-1","1","1","-1","-1","-1","-1","-1","0","0","1","-1","-1","1","1","-1","1","1","1","1","1","1","1","0","1","1","0","0","-1","0","1","1","0","0","1","0","1","1","1","1","0","1","0","0","-1","1","-1","1","-1","-1","1","0","0","-1","1","1","0","0","0","-1","0","0","-1","-1","0","-1","-1","0","-1","-1","1","-1","-1","-1","-1","-1","-1","0","0","-1","0","-1","-1","0","-1","-1","-1","-1","-1","0","0","-1","-1","0","1","1","-1","-1","-1","-1","0","1","-1","0","-1","-1","1","-1","0","-1","-1","0","0","-1","-1","-1","-1","0","1","-1","-1","-1","-1","-1","0","1","-1","-1","-1","-1","0","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","1","-1","1"
"TCGA.A6.2679.11","1","1","1","0","1","1","1","1","-1","1","1","1","1","1","1","-1","1","-1","-1","1","1","-1","1","1","1","1","1","1","-1","1","0","1","1","1","1","1","1","-1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","-1","1","-1","-1","-1","1","1","0","0","1","1","1","-1","1","1","1","-1","1","1","-1","1","1","0","-1","1","-1","-1","0","0","-1","-1","-1","1","-1","-1","0","-1","1","-1","0","-1","-1","1","1","-1","0","1","-1","-1","-1","-1","1","-1","-1","-1","0","1","0","-1","-1","1","1","1","0","1","-1","-1","1","0","-1","0","-1","1","1","1","1","-1","-1","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","0","1","-1","0","-1","1","1","1","1","-1","0","1","1","1","0","-1","-1","1","1","1","1","1","1","1","0","1","0","-1","1","1","1","1","1","1","-1","0","0","0","0","-1","1","1","0","0","1","1","0","1","0","0","1","0","0","0","0","-1","0","0","0","1","0","1","1","1","1","-1","-1","-1","1","1","1","1","0","0","1","-1","0","1","0","1","1","1","1","1","-1","1","-1","-1","1","-1"
"TCGA.AD.A5EJ.01","0","-1","-1","0","0","0","0","0","1","0","1","-1","0","-1","1","1","0","1","1","-1","0","1","0","1","0","-1","-1","1","1","0","1","-1","0","0","0","-1","-1","1","-1","1","-1","0","0","-1","0","0","0","1","1","-1","-1","0","0","-1","1","0","1","1","1","-1","-1","1","-1","-1","0","-1","0","0","0","0","1","-1","0","1","1","0","1","0","0","0","1","1","1","0","1","1","1","-1","1","1","0","-1","1","-1","1","-1","1","1","1","0","1","1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","0","1","-1","0","-1","1","0","0","-1","-1","0","-1","-1","1","0","1","1","1","1","-1","1","0","-1","0","-1","0","1","0","1","-1","0","0","-1","1","-1","-1","0","0","1","1","1","0","1","1","0","-1","0","-1","1","1","0","0","-1","1","1","1","1","-1","-1","0","0","0","0","1","-1","1","1","0","0","-1","-1","-1","0","1","1","1","0","0","1","-1","-1","-1","-1","1","-1","-1","-1","0","-1","0","0","0","1","0","0","1","0","0","-1","0","-1","0","-1","-1","1","1","0","0","0","-1","0","0","1","1","-1","0","0","-1","0","-1","0","-1","0","1","-1","1","1","0","1"
"TCGA.G4.6628.01","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","-1","1","-1","0","-1","0","-1","0","-1","1","1","0","1","-1","0","-1","0","-1","0","-1","1","-1","0","0","1","-1","-1","0","0","-1","1","-1","0","1","-1","1","-1","-1","-1","0","-1","-1","0","-1","1","-1","-1","-1","-1","-1","-1","0","1","1","0","-1","1","-1","0","1","0","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","0","1","1","-1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","0","1","0","1","1","1","1","0","1","0","0","-1","0","0","-1","1","0","-1","1","0","-1","0","0","-1","1","0","0","1","-1","-1","1","0","-1","0","0","0","0","0","-1","-1","1","0","1","1","0","0","0","0","-1","-1","0","0","-1","0","1","1","-1","1","1","-1","0","1","1","1"
"TCGA.D5.6531.01","-1","0","1","0","1","1","0","1","1","0","0","1","0","1","-1","1","1","1","1","1","0","1","1","1","1","0","0","0","1","0","-1","1","0","0","1","0","0","1","-1","-1","0","1","-1","0","-1","0","1","1","0","1","1","0","-1","0","1","-1","1","1","1","0","0","0","0","0","1","0","1","0","-1","1","1","0","-1","0","0","0","1","1","-1","1","0","0","1","1","1","1","1","-1","0","-1","0","-1","1","0","1","-1","1","-1","1","0","-1","0","0","-1","1","0","0","1","0","1","0","0","0","0","-1","-1","-1","1","1","-1","1","0","0","1","0","1","0","-1","0","0","1","0","0","0","0","-1","0","-1","1","1","1","1","1","1","1","1","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","-1","0","0","0","0","0","0","0","-1","1","0","-1","-1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","-1","1","-1","0","0","0","-1","0","1","1","1","1","0","0","1","0","-1","0","0","0","1","0","0","1","0","1"
"TCGA.DM.A28M.01","-1","0","0","1","0","-1","-1","-1","1","-1","0","-1","-1","-1","-1","1","-1","1","1","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","0","-1","-1","-1","-1","-1","-1","1","-1","0","-1","0","0","-1","0","-1","-1","1","0","-1","-1","-1","1","-1","1","-1","1","1","1","-1","-1","1","-1","-1","-1","-1","1","0","-1","-1","1","-1","-1","-1","1","-1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","0","1","0","0","1","1","0","1","1","0","1","0","0","0","0","1","-1","1","0","1","1","0","0","-1","-1","-1","-1","1","0","0","0","0","1","-1","-1","0","-1","1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","0","0","-1","0","0","-1","1","1","-1","-1","-1","-1","0","1","-1","-1","-1","0","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","1","1","0","-1","-1","1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","0","1","-1","1"
"TCGA.CK.6751.01","1","1","1","1","1","1","0","1","1","0","1","0","1","0","0","1","-1","1","1","-1","-1","1","1","0","0","0","0","0","1","0","1","0","1","1","0","0","1","1","1","1","0","1","1","0","1","1","0","1","1","0","-1","1","1","0","1","-1","1","1","1","0","0","1","-1","-1","0","-1","0","1","0","1","1","-1","-1","1","1","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","0","1","1","-1","1","0","1","1","1","1","1","1","-1","-1","0","1","0","1","0","0","1","-1","0","1","0","1","0","1","0","1","1","-1","-1","-1","0","1","0","1","0","1","1","-1","1","0","-1","1","0","1","1","1","1","0","0","-1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","0","1","0","1","0","1","1","-1","0","0","1","-1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","-1","1","1","0","0","0","0","0","0","0","1","1","-1","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","1","0","1","1","0","1"
"TCGA.F4.6854.01","-1","-1","-1","-1","-1","0","0","1","0","0","-1","0","0","-1","0","0","0","1","0","-1","0","0","0","0","0","1","0","0","0","-1","-1","0","0","-1","-1","0","0","0","-1","-1","-1","-1","-1","0","-1","-1","0","0","-1","-1","0","0","-1","-1","0","0","1","1","-1","0","0","-1","0","0","-1","0","0","0","0","0","0","0","1","0","-1","-1","-1","0","-1","1","-1","-1","1","0","0","1","-1","0","0","-1","1","0","-1","1","1","1","0","-1","0","-1","-1","0","0","0","0","1","-1","1","1","0","0","1","0","-1","0","0","0","0","0","0","0","1","1","1","0","-1","-1","0","-1","0","1","1","-1","0","-1","-1","0","-1","-1","0","0","0","0","-1","0","0","0","0","-1","-1","0","-1","0","-1","0","1","0","-1","0","0","-1","0","0","-1","0","0","-1","0","-1","0","0","0","-1","0","0","-1","-1","0","0","-1","0","0","0","0","0","0","-1","0","0","0","0","1","0","0","0","-1","1","1","0","0","1","0","-1","1","0","1","0","1","0","0","0","1","0","0","0","-1","0","-1","0","0","0","0","0","0","0","-1","0","0","0","-1","0","-1","0","1","0","0","1","0","1","0","0"
"TCGA.A6.2683.11","1","1","0","0","1","0","0","1","-1","1","0","1","1","1","1","-1","0","-1","-1","0","1","-1","0","0","1","1","1","1","-1","1","0","1","0","0","0","1","0","-1","1","0","1","1","-1","1","1","-1","1","1","1","0","1","1","1","1","-1","1","-1","-1","-1","1","1","0","1","1","0","1","0","1","1","1","-1","1","1","-1","1","1","0","-1","1","-1","0","1","1","-1","-1","-1","0","-1","-1","-1","0","1","-1","0","-1","-1","1","1","-1","1","1","-1","1","-1","-1","1","-1","-1","-1","-1","1","0","0","-1","1","1","1","0","0","-1","-1","1","-1","-1","0","-1","1","0","0","1","-1","0","0","1","1","0","1","0","0","1","1","1","0","0","1","0","1","1","1","1","1","-1","1","0","-1","-1","0","1","0","1","-1","-1","1","1","1","0","-1","-1","1","1","1","1","1","1","1","-1","1","0","-1","1","1","0","1","1","1","-1","-1","0","-1","0","-1","1","1","-1","-1","1","0","-1","1","-1","-1","0","-1","1","-1","0","1","-1","-1","0","1","0","1","1","1","1","-1","-1","-1","1","1","1","1","-1","0","1","-1","0","1","-1","-1","1","1","1","1","-1","0","-1","-1","1","-1"
